Date,Open,High,Low,Close,Adj Close,Volume
2021-05-25,315.549988,319.000000,313.850006,315.250000,314.270508,37382263
2021-05-26,316.100006,320.000000,314.799988,315.500000,314.519745,28639717
2021-05-27,317.049988,323.450012,316.549988,318.600006,317.610107,49484106
2021-05-28,322.649994,324.500000,316.500000,318.750000,317.759644,26618815
2021-05-31,318.700012,319.750000,312.100006,318.750000,317.759644,30917309
2021-06-01,319.200012,325.700012,317.299988,318.100006,317.111664,32595728
2021-06-02,315.950012,324.399994,315.600006,323.000000,321.996429,26323777
2021-06-03,325.299988,327.700012,323.649994,325.649994,324.638184,21408371
2021-06-04,325.149994,336.899994,324.250000,334.950012,333.909332,41278749
2021-06-07,339.750000,351.000000,339.750000,345.500000,344.426514,64986814
2021-06-08,346.250000,356.649994,337.500000,352.750000,351.653992,44104954
2021-06-09,356.200012,358.899994,339.750000,343.350006,342.283203,59334814
2021-06-10,345.200012,347.850006,342.399994,344.750000,343.678864,24351860
2021-06-11,346.000000,352.899994,344.350006,350.750000,349.660217,36441967
2021-06-14,350.049988,357.899994,341.100006,355.950012,354.844086,38482142
2021-06-15,355.750000,360.750000,351.500000,352.700012,351.604156,35526159
2021-06-16,350.100006,356.000000,348.100006,349.350006,348.264557,27550588
2021-06-17,348.399994,352.899994,342.250000,345.649994,344.576050,29236974
2021-06-18,345.649994,346.899994,329.000000,337.399994,336.351685,49440514
2021-06-21,330.899994,335.799988,326.200012,334.299988,333.261322,29123887
2021-06-22,337.100006,344.299988,336.149994,337.899994,336.850128,26708459
2021-06-23,341.000000,343.250000,334.299988,335.250000,334.208374,25741628
2021-06-24,335.000000,337.399994,333.350006,334.649994,333.610229,15580223
2021-06-25,335.899994,342.799988,335.899994,339.649994,338.594696,22426352
2021-06-28,340.799988,345.000000,337.549988,342.799988,341.734894,17843975
2021-06-29,342.649994,346.500000,339.600006,341.549988,340.488800,22462297
2021-06-30,342.000000,345.350006,338.850006,339.600006,338.544861,18277841
2021-07-01,341.500000,347.399994,341.200012,344.250000,343.180420,27944816
2021-07-02,345.299988,345.549988,340.500000,344.899994,343.828400,18304387
2021-07-05,347.049988,350.100006,344.000000,346.100006,345.024658,18399524
2021-07-06,348.000000,358.200012,311.500000,316.899994,315.915375,164083830
2021-07-07,316.000000,319.100006,306.250000,317.100006,316.114777,112183313
2021-07-08,314.799988,314.799988,305.000000,306.350006,305.398163,87360324
2021-07-09,305.799988,308.850006,301.850006,306.299988,305.348297,48807214
2021-07-12,310.799988,312.000000,306.100006,307.450012,306.494751,32282319
2021-07-13,310.000000,312.250000,308.149994,310.950012,309.983887,25736308
2021-07-14,310.000000,313.299988,308.649994,309.549988,308.588226,21863250
2021-07-15,310.500000,312.850006,307.600006,310.250000,309.286041,23617599
2021-07-16,311.100006,315.450012,310.500000,311.250000,310.282928,25148606
2021-07-19,308.950012,310.299988,306.000000,308.850006,307.890411,21346348
2021-07-20,307.000000,308.000000,301.049988,302.149994,301.211212,27672567
2021-07-22,305.500000,307.450012,301.049988,302.549988,301.609955,21338361
2021-07-23,300.500000,301.899994,295.000000,295.549988,294.631714,33435130
2021-07-26,295.000000,297.000000,291.000000,293.149994,292.239166,27502360
2021-07-27,293.000000,297.649994,288.600006,291.399994,290.494598,55132877
2021-07-28,290.000000,290.899994,283.600006,284.450012,283.566223,36139725
2021-07-29,287.549988,295.399994,287.549988,292.899994,291.989960,57733359
2021-07-30,294.000000,300.000000,293.250000,293.950012,293.036713,30589609
2021-08-02,299.149994,299.399994,295.600006,296.850006,295.927704,19273390
2021-08-03,298.500000,304.500000,297.700012,303.700012,302.756409,31063992
2021-08-04,304.750000,306.450012,297.200012,298.149994,297.223633,26186248
2021-08-05,295.500000,300.899994,292.750000,299.700012,298.768829,20704901
2021-08-06,300.049988,303.399994,297.649994,300.049988,299.117737,16001898
2021-08-09,300.750000,304.200012,296.049988,298.100006,297.173798,16985859
2021-08-10,297.899994,300.200012,291.000000,294.200012,293.285919,15173990
2021-08-11,295.299988,297.799988,286.450012,295.450012,294.532043,20802022
2021-08-12,297.299988,307.399994,297.299988,306.000000,305.049255,33652880
2021-08-13,308.799988,311.500000,303.049988,307.250000,306.295380,34922863
2021-08-16,305.950012,307.850006,303.049988,303.700012,302.756409,14348786
2021-08-17,302.799988,302.799988,292.799988,297.700012,296.775055,25539214
2021-08-18,296.899994,297.750000,292.600006,293.350006,292.438568,18004320
2021-08-20,289.500000,290.700012,281.000000,283.100006,282.220398,32578752
2021-08-23,287.200012,288.299988,275.000000,276.950012,276.089539,24498294
2021-08-24,278.500000,281.500000,268.450012,279.799988,278.930634,37589121
2021-08-25,282.799988,289.200012,282.450012,284.399994,283.516357,31538128
2021-08-26,284.850006,287.350006,281.649994,284.299988,283.416656,17864053
2021-08-27,282.899994,286.799988,281.700012,285.750000,284.862183,13477390
2021-08-30,290.100006,293.500000,289.899994,291.950012,291.042908,17217097
2021-08-31,291.750000,291.950012,286.100006,287.299988,286.407349,36951003
2021-09-01,289.000000,297.399994,287.299988,295.250000,294.332642,33103168
2021-09-02,295.250000,296.299988,291.700012,293.149994,292.239166,14907001
2021-09-03,292.500000,296.450012,292.000000,295.549988,294.631714,16594135
2021-09-06,297.500000,298.950012,296.000000,297.450012,296.525818,16622865
2021-09-07,297.350006,297.799988,290.899994,294.600006,293.684692,14325904
2021-09-08,293.500000,298.799988,291.600006,295.250000,294.332642,14920479
2021-09-09,294.000000,303.500000,293.549988,298.950012,298.021179,34020970
2021-09-13,299.000000,302.000000,295.500000,301.200012,300.264191,16339860
2021-09-14,302.250000,307.200012,302.200012,306.100006,305.148956,23234649
2021-09-15,306.100006,313.000000,306.100006,311.950012,310.980774,26808872
2021-09-16,313.399994,315.000000,307.649994,311.649994,310.681702,26249369
2021-09-17,312.000000,315.350006,306.000000,308.600006,307.641174,24972069
2021-09-20,304.899994,310.250000,297.299988,298.950012,298.021179,19632688
2021-09-21,298.600006,302.700012,293.100006,301.950012,301.011841,19439330
2021-09-22,303.149994,313.799988,303.000000,310.100006,309.136536,29545253
2021-09-23,313.200012,324.000000,313.200012,321.500000,320.501099,52701665
2021-09-24,325.100006,326.950012,316.049988,317.950012,316.962128,28901243
2021-09-27,323.149994,333.600006,323.149994,331.649994,330.619568,56305136
2021-09-28,334.000000,336.000000,324.500000,329.299988,328.276855,28497009
2021-09-29,325.000000,333.000000,324.000000,330.250000,329.223907,19740150
2021-09-30,331.250000,337.899994,329.100006,333.350006,332.314270,30268517
2021-10-01,332.649994,337.299988,325.700012,333.299988,332.264435,29877695
2021-10-04,336.799988,343.250000,335.149994,342.000000,340.937408,29553072
2021-10-05,340.450012,351.500000,338.850006,344.950012,343.878235,31861985
2021-10-06,347.000000,348.700012,335.000000,336.049988,335.005890,25272592
2021-10-07,341.100006,383.000000,339.250000,376.500000,375.330200,163238084
2021-10-08,385.899994,397.549988,380.000000,382.950012,381.760193,93728117
2021-10-11,390.149994,420.899994,388.000000,415.750000,414.458252,113404983
2021-10-12,423.000000,435.700012,413.600006,420.850006,419.542419,97349265
2021-10-13,462.899994,523.849976,462.899994,506.899994,505.325043,197949387
2021-10-14,530.000000,530.000000,492.000000,497.600006,496.053955,103630901
2021-10-18,507.000000,525.000000,503.600006,509.600006,508.016663,72322623
2021-10-19,512.450012,517.400024,476.049988,481.899994,480.402710,57428637
2021-10-20,481.799988,497.000000,471.250000,486.899994,485.387177,55444814
2021-10-21,491.750000,510.399994,485.750000,508.000000,506.421631,52608672
2021-10-22,509.899994,510.700012,487.399994,490.899994,489.374756,42742785
2021-10-25,493.899994,496.000000,473.250000,479.899994,478.408936,33107841
2021-10-26,483.500000,510.000000,483.250000,508.649994,507.069611,58027770
2021-10-27,505.750000,506.549988,496.000000,497.899994,496.353027,30361263
2021-10-28,493.899994,493.899994,478.549988,481.049988,479.555359,25182748
2021-10-29,482.000000,491.600006,467.700012,483.700012,482.197144,31054342
2021-11-01,486.450012,489.700012,469.799988,485.700012,484.190948,34315690
2021-11-02,506.500000,510.000000,486.500000,487.850006,486.334259,51580720
2021-11-03,483.799988,495.000000,481.600006,484.899994,483.393402,22950198
2021-11-04,489.799988,493.549988,488.000000,489.700012,488.178497,5531940
2021-11-08,493.899994,504.850006,490.250000,501.399994,499.842133,31736426
2021-11-09,505.000000,520.650024,503.500000,509.649994,508.066498,50458762
2021-11-10,506.250000,515.950012,500.200012,510.750000,509.163086,26615777
2021-11-11,510.000000,519.000000,501.000000,503.450012,501.885773,29256213
2021-11-12,506.950012,509.549988,497.350006,507.049988,505.474579,20731808
2021-11-15,506.250000,514.900024,504.500000,505.450012,503.879578,18014977
